,R2,m,b
DTX3L,0.18413868302804526,1.6448319915280158,2783.0664184327607
USP18,0.596211577849795,5.026275909839712,6376.978868427814
SLFN5,0.8146562387894882,9.441365300242381,726.6272186816859
APOL6,0.0010477513422847418,0.16265219068562556,7818.800824455146
PLSCR1,0.5667875335432543,5.388459481961604,6561.230513267706
PPM1K,0.6443294288704808,2.7241308159985627,2920.3368556944406
HERC6,0.40050170738926294,5.06494536223292,2952.4001611088142
RIGI,0.2668605298333864,7.969177576683658,19379.92210347299
IFIH1,0.6341428887399685,5.717412904216915,5469.040697396587
IFIT5,0.7351957937673554,7.552738250250239,902.2552731227456
MX2,0.500363593294676,8.036634062189181,9726.606811377558
PARP9,0.24406738379952853,1.925503375982679,8168.775503652007
HERC5,0.7728112549135616,15.527995835332057,3891.518372559398
TLR7,0.748681688542149,3.985781890694502,785.9285476775249
LOC105373582,0.003681467635657576,0.38049735504735654,206.25430499879252
SLFN12L,0.7577552235690483,5.373081320407738,6101.2503543712655
FLJ32255,0.14525815109605644,1.769097635948421,988.0900423447097
RTP4,0.41791537374753196,4.158255868347303,296.08358485482324
SAMD9L,0.3481527325149545,5.1637966885682465,7373.687784820098
TRANK1,0.6861316276886174,6.882590380955454,2551.546680224912
B3GNT2,0.585009258256821,2.013891629709525,208.77072338042672
GCH1,0.19876194519285273,2.709307445062646,1641.0359838366217
IFI6,0.5526117209872736,21.433722749233468,3309.577521964184
TRIM25,0.6300175041137338,5.7961649890581,3457.843514796932
ZCCHC2,0.7688632588587663,7.175165075609237,-5801.988018580543
EPSTI1,0.3657881739608809,2.9284411622442312,16548.327630323864
DOP1A,0.11259139317701006,1.3091704974609397,4109.013628638289
TRIM56,0.08676507832812297,0.9898632300319629,3897.814859431151
IFIT3,0.3073135071117772,7.781740208700507,19121.118338810204
USP25,0.09764718859826216,1.8212553316713151,7171.043265201301
TRIM14,0.6467015226098853,3.2255928688289894,1385.0246641293588
DDX60L,0.882229490418302,14.761374763504877,3158.7690795965755
PARP12,0.4992089073277808,5.342339832671937,2762.8050637944043
ARHGEF3,0.7300538689378135,3.315282382145875,626.7820571884968
TNFSF13B,0.7478817563277952,3.8306835627215285,1167.955103566085
DDX60,0.821290677082112,8.713553827711992,3736.354696495202
MASTL,0.000749712873659214,-0.145204336047077,8574.453642700813
MX1,0.8006338492902642,10.223099601974257,24868.536242131384
FBXO6,0.03151994203256647,1.0206828719433347,2019.7662833504069
NRIR,0.4120175365612997,4.080587615595455,154.36041012249416
PARP14,0.16304142284289536,2.0553108598179786,26800.704617237912
XRN1,0.24474018336923653,1.3400961887308862,13722.326117253451
KIAA0040,0.7754108418461592,5.280934582574525,155.82179599012034
CHROMR,0.402516381166382,2.812625607429394,991.2781288187336
DYNLT1,0.06984904145383763,1.73550361955629,2176.311831880972
SP110,0.787779199794208,4.641012566149802,7032.730870193807
EIF2AK2,0.4406092259769767,2.7936905607861955,8596.60076945987
LGALS17A,0.13012322567391998,2.8322908317528928,2149.6609573708547
ZNFX1,0.030995586726504154,2.098282287112598,9842.44499171807
LAG3,0.23413453106177096,9.022426752091095,306.9694760404982
MYD88,0.05167402047661396,1.0860284011970596,1190.6752080674464
GBP3,0.5280744549959027,5.8071465986247155,93.37082355590746
BCL2L14,0.7090162524466453,12.630771058147747,1912.715765437466
DHX58,0.459723279501594,2.398059692764963,1792.821604642503
ISG15,0.14107895046482322,8.262220159197321,561.3539641643865
IL16,0.36585573623924017,0.20548479232440217,37.79368005629067
HELB,0.23465219991242792,14.261067000163674,-2970.798027559338
HELZ2,0.009051099528314732,0.5855345077159984,7538.836691921687
LPIN2,0.6607326714514565,3.387076879108969,-362.3552145527501
TRIM5,0.6703491252472211,3.1220169843736776,1534.787486430665
GTPBP1,0.12637101413091778,1.5705832928624273,6195.536988815648
STAT1,0.5087070656937942,0.9952868890613077,41325.66310650586
GBP4,0.5623248127666696,7.340364965370561,1708.7789079317556
FHL3,0.3104131524072764,4.16197227525026,239.9067824096088
TRAFD1,0.2531782516114952,2.940816210886379,3264.121900746958
GMPR,0.8850346256259138,8.597321074226898,222.7435318882401
CASP10,0.7866323081498419,4.1832923003533455,585.0759888916623
