,files,protocol,treatment,person,rep,bamdir,Trisomy21,Celllinefrom,label,protocol_treatment_person,newlabel,genotype,condition
1,PRO-BSA-ChenChao-1.sorted.bam,PRO,BSA,ChenChao,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-BSA-ChenChao-1,PRO-BSA-ChenChao,PRO.BSA.ChenChao.1,ChenChao,BSA
2,PRO-BSA-ChenChao-2.sorted.bam,PRO,BSA,ChenChao,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-BSA-ChenChao-2,PRO-BSA-ChenChao,PRO.BSA.ChenChao.2,ChenChao,BSA
3,PRO-BSA-Dave-1.sorted.bam,PRO,BSA,Dave,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,PRO-BSA-Dave-1,PRO-BSA-Dave,PRO.BSA.Dave.1,Dave,BSA
4,PRO-BSA-Dave-3.sorted.bam,PRO,BSA,Dave,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,PRO-BSA-Dave-3,PRO-BSA-Dave,PRO.BSA.Dave.3,Dave,BSA
5,PRO-BSA-Eric-1.sorted.bam,PRO,BSA,Eric,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Nexus,PRO-BSA-Eric-1,PRO-BSA-Eric,PRO.BSA.Eric.1,Eric,BSA
6,PRO-BSA-Eric-3.sorted.bam,PRO,BSA,Eric,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Nexus,PRO-BSA-Eric-3,PRO-BSA-Eric,PRO.BSA.Eric.3,Eric,BSA
7,PRO-BSA-Ethan-1.sorted.bam,PRO,BSA,Ethan,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,PRO-BSA-Ethan-1,PRO-BSA-Ethan,PRO.BSA.Ethan.1,Ethan,BSA
8,PRO-BSA-Ethan-3.sorted.bam,PRO,BSA,Ethan,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,PRO-BSA-Ethan-3,PRO-BSA-Ethan,PRO.BSA.Ethan.3,Ethan,BSA
9,PRO-BSA-Khaondo-1.sorted.bam,PRO,BSA,Khaondo,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-BSA-Khaondo-1,PRO-BSA-Khaondo,PRO.BSA.Khaondo.1,Khaondo,BSA
10,PRO-BSA-Khaondo-2.sorted.bam,PRO,BSA,Khaondo,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-BSA-Khaondo-2,PRO-BSA-Khaondo,PRO.BSA.Khaondo.2,Khaondo,BSA
11,PRO-BSA-Niyilolawa-1.sorted.bam,PRO,BSA,Niyilolawa,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-BSA-Niyilolawa-1,PRO-BSA-Niyilolawa,PRO.BSA.Niyilolawa.1,Niyilolawa,BSA
12,PRO-BSA-Niyilolawa-2.sorted.bam,PRO,BSA,Niyilolawa,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-BSA-Niyilolawa-2,PRO-BSA-Niyilolawa,PRO.BSA.Niyilolawa.2,Niyilolawa,BSA
13,PRO-BSA-Pedro-1.sorted.bam,PRO,BSA,Pedro,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-BSA-Pedro-1,PRO-BSA-Pedro,PRO.BSA.Pedro.1,Pedro,BSA
14,PRO-BSA-Pedro-2.sorted.bam,PRO,BSA,Pedro,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-BSA-Pedro-2,PRO-BSA-Pedro,PRO.BSA.Pedro.2,Pedro,BSA
15,PRO-BSA-Srivathani-1.sorted.bam,PRO,BSA,Srivathani,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-BSA-Srivathani-1,PRO-BSA-Srivathani,PRO.BSA.Srivathani.1,Srivathani,BSA
16,PRO-BSA-Srivathani-2.sorted.bam,PRO,BSA,Srivathani,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-BSA-Srivathani-2,PRO-BSA-Srivathani,PRO.BSA.Srivathani.2,Srivathani,BSA
17,PRO-IFNB-ChenChao-1.sorted.bam,PRO,IFNB,ChenChao,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-IFNB-ChenChao-1,PRO-IFNB-ChenChao,PRO.IFNB.ChenChao.1,ChenChao,IFNB
18,PRO-IFNB-ChenChao-2.sorted.bam,PRO,IFNB,ChenChao,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-IFNB-ChenChao-2,PRO-IFNB-ChenChao,PRO.IFNB.ChenChao.2,ChenChao,IFNB
19,PRO-IFNB-Dave-1.sorted.bam,PRO,IFNB,Dave,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,PRO-IFNB-Dave-1,PRO-IFNB-Dave,PRO.IFNB.Dave.1,Dave,IFNB
20,PRO-IFNB-Dave-3.sorted.bam,PRO,IFNB,Dave,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,PRO-IFNB-Dave-3,PRO-IFNB-Dave,PRO.IFNB.Dave.3,Dave,IFNB
21,PRO-IFNB-Eric-1.sorted.bam,PRO,IFNB,Eric,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Nexus,PRO-IFNB-Eric-1,PRO-IFNB-Eric,PRO.IFNB.Eric.1,Eric,IFNB
22,PRO-IFNB-Eric-3.sorted.bam,PRO,IFNB,Eric,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Nexus,PRO-IFNB-Eric-3,PRO-IFNB-Eric,PRO.IFNB.Eric.3,Eric,IFNB
23,PRO-IFNB-Ethan-1.sorted.bam,PRO,IFNB,Ethan,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,PRO-IFNB-Ethan-1,PRO-IFNB-Ethan,PRO.IFNB.Ethan.1,Ethan,IFNB
24,PRO-IFNB-Ethan-3.sorted.bam,PRO,IFNB,Ethan,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,PRO-IFNB-Ethan-3,PRO-IFNB-Ethan,PRO.IFNB.Ethan.3,Ethan,IFNB
25,PRO-IFNB-Khaondo-1.sorted.bam,PRO,IFNB,Khaondo,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-IFNB-Khaondo-1,PRO-IFNB-Khaondo,PRO.IFNB.Khaondo.1,Khaondo,IFNB
26,PRO-IFNB-Khaondo-2.sorted.bam,PRO,IFNB,Khaondo,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-IFNB-Khaondo-2,PRO-IFNB-Khaondo,PRO.IFNB.Khaondo.2,Khaondo,IFNB
27,PRO-IFNB-Niyilolawa-1.sorted.bam,PRO,IFNB,Niyilolawa,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-IFNB-Niyilolawa-1,PRO-IFNB-Niyilolawa,PRO.IFNB.Niyilolawa.1,Niyilolawa,IFNB
28,PRO-IFNB-Niyilolawa-2.sorted.bam,PRO,IFNB,Niyilolawa,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-IFNB-Niyilolawa-2,PRO-IFNB-Niyilolawa,PRO.IFNB.Niyilolawa.2,Niyilolawa,IFNB
29,PRO-IFNB-Pedro-1.sorted.bam,PRO,IFNB,Pedro,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-IFNB-Pedro-1,PRO-IFNB-Pedro,PRO.IFNB.Pedro.1,Pedro,IFNB
30,PRO-IFNB-Pedro-2.sorted.bam,PRO,IFNB,Pedro,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-IFNB-Pedro-2,PRO-IFNB-Pedro,PRO.IFNB.Pedro.2,Pedro,IFNB
31,PRO-IFNB-Srivathani-1.sorted.bam,PRO,IFNB,Srivathani,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-IFNB-Srivathani-1,PRO-IFNB-Srivathani,PRO.IFNB.Srivathani.1,Srivathani,IFNB
32,PRO-IFNB-Srivathani-2.sorted.bam,PRO,IFNB,Srivathani,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/PRO-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,PRO-IFNB-Srivathani-2,PRO-IFNB-Srivathani,PRO.IFNB.Srivathani.2,Srivathani,IFNB
