,files,protocol,treatment,person,rep,bamdir,Trisomy21,Celllinefrom,label,protocol_treatment_person,newlabel,genotype,condition
1,RNA-BSA-ChenChao-1.sorted.bam,RNA,BSA,ChenChao,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-ChenChao-1,RNA-BSA-ChenChao,RNA.BSA.ChenChao.1,ChenChao,BSA
2,RNA-BSA-ChenChao-2.sorted.bam,RNA,BSA,ChenChao,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-ChenChao-2,RNA-BSA-ChenChao,RNA.BSA.ChenChao.2,ChenChao,BSA
3,RNA-BSA-ChenChao-3.sorted.bam,RNA,BSA,ChenChao,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-ChenChao-3,RNA-BSA-ChenChao,RNA.BSA.ChenChao.3,ChenChao,BSA
4,RNA-BSA-Dave-1.sorted.bam,RNA,BSA,Dave,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,RNA-BSA-Dave-1,RNA-BSA-Dave,RNA.BSA.Dave.1,Dave,BSA
5,RNA-BSA-Dave-2.sorted.bam,RNA,BSA,Dave,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,RNA-BSA-Dave-2,RNA-BSA-Dave,RNA.BSA.Dave.2,Dave,BSA
6,RNA-BSA-Dave-3.sorted.bam,RNA,BSA,Dave,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,RNA-BSA-Dave-3,RNA-BSA-Dave,RNA.BSA.Dave.3,Dave,BSA
7,RNA-BSA-Eric-1.sorted.bam,RNA,BSA,Eric,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Nexus,RNA-BSA-Eric-1,RNA-BSA-Eric,RNA.BSA.Eric.1,Eric,BSA
8,RNA-BSA-Eric-2.sorted.bam,RNA,BSA,Eric,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Nexus,RNA-BSA-Eric-2,RNA-BSA-Eric,RNA.BSA.Eric.2,Eric,BSA
9,RNA-BSA-Eric-3.sorted.bam,RNA,BSA,Eric,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Nexus,RNA-BSA-Eric-3,RNA-BSA-Eric,RNA.BSA.Eric.3,Eric,BSA
10,RNA-BSA-Ethan-1.sorted.bam,RNA,BSA,Ethan,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,RNA-BSA-Ethan-1,RNA-BSA-Ethan,RNA.BSA.Ethan.1,Ethan,BSA
