,ChenChao_PRO,Dave_PRO,Eric_PRO,Ethan_PRO,Khaondo_PRO,Niyilolawa_PRO,Pedro_PRO,Srivathani_PRO
DTX3L,4.36012768277702e-38,8.583626796858931e-23,5.030984778136049e-40,2.9926595428590697e-40,7.57225503714291e-32,4.19382241536085e-42,4.75679566110773e-29,1.88317036639398e-34
USP18,1.4590650987005899e-49,9.38524292551333e-24,1.78827903324994e-36,4.93634501956936e-38,5.89109704457882e-45,9.12482687932976e-51,1.40515297301517e-54,2.2197898598435897e-34
SLFN5,3.96485755376775e-40,9.834913622029149e-33,1.83373018162307e-45,7.212161415302401e-48,3.44824821553445e-39,7.942320150583e-51,1.27591696050426e-51,6.94153900513418e-39
APOL6,5.67105085994416e-59,4.3361867734719694e-30,2.62435220348701e-38,6.1679745416067807e-61,2.14933259886329e-68,2.6889418164887603e-61,2.66320216096742e-60,1.49849412361259e-46
PLSCR1,1.7176071291112e-47,1.2384609980760901e-46,3.16030455285583e-63,7.12871892140145e-68,2.1707576723349e-38,1.38987219127718e-55,2.62425924673237e-54,4.4725562117338604e-44
PPM1K,5.5444828698143e-24,6.516957954220711e-15,1.90044774711979e-19,1.2996063706099e-24,1.0281061918242501e-20,1.2206124285152301e-23,6.15770018828834e-19,7.20747404932195e-22
HERC6,6.64536966201764e-42,1.10967010431035e-27,8.97472616902217e-50,6.14610689757658e-44,5.803045822136671e-38,2.7878039111848096e-48,4.34754557974863e-54,1.17747697052519e-41
RIGI,1.48796954795928e-78,9.79084099789858e-63,1.48236306364674e-72,1.1501447464114e-82,1.48815777243429e-79,3.25909971386861e-90,8.69415309967992e-74,1.34640391350428e-59
IFIH1,5.21388928664365e-21,7.193005046222771e-20,5.3888995208518195e-22,2.81607903694496e-26,8.55930245490054e-21,4.96055001596865e-23,3.2056074880641e-18,3.1827262704374797e-18
IFIT5,7.25128338797116e-41,3.28088685453451e-36,1.20183026137721e-52,3.56225605703858e-50,1.43893480055703e-44,5.4537734205557696e-55,9.675149041359859e-55,7.15862626905496e-35
MX2,9.65896287616593e-24,1.9120042505148101e-19,1.20500584290351e-21,6.44580908268067e-24,1.19426952098145e-27,5.44091131453845e-18,3.1292797632822797e-22,9.33371846160222e-21
PARP9,1.58249523387603e-32,6.28852060435166e-17,1.27382418766007e-43,3.2052743654250005e-33,9.732972389313691e-23,8.07722457595835e-37,5.39669065131805e-28,1.7445635462639e-27
HERC5,2.84446265983493e-45,2.42087408177507e-37,1.65645907388131e-48,1.17467138446048e-59,1.94027762608742e-51,1.23953744015119e-54,1.24519918290717e-57,1.31081010946952e-51
TLR7,8.44920985772903e-27,1.8362179843115101e-25,5.1356459169234205e-20,3.60813110611201e-27,7.086301884256589e-28,2.55630098669771e-28,3.09839452034687e-29,1.29100792107958e-24
LOC105373582,1.50715711998673e-05,9.33962460431097e-05,2.54520045492584e-07,0.0009848995626392,1.14187625587252e-05,0.0051789338730736,1.5964447526495699e-12,0.0018194995752837
SLFN12L,3.44299437716685e-06,0.0026283158472409,8.5969965135372e-11,1.6782586189035e-08,9.56580918951303e-05,5.467583382144e-07,9.12646622172268e-07,1.86424996976405e-05
FLJ32255,2.37287179141563e-20,2.95500526068795e-16,1.6362712735518999e-13,2.38238299404173e-16,1.4759652299923e-29,5.11409518467484e-27,3.01543949660648e-22,1.5610927111351e-11
RTP4,3.38216989297251e-20,4.19386812337348e-12,3.58476663751189e-13,1.46780058675578e-18,1.11955844516807e-19,6.580580880131601e-20,2.75714820683801e-15,5.0163317510422e-17
