,ChenChao_RNA,Dave_RNA,Eric_RNA,Ethan_RNA,Khaondo_RNA,Niyilolawa_RNA,Pedro_RNA,Srivathani_RNA
DTX3L,1.41253954727254e-197,2.58740745679539e-101,4.7671776681361e-268,4.88099529225053e-209,5.63359930033592e-147,2.0360256916115502e-172,3.9958637877517004e-146,1.22296168671705e-157
USP18,1.8721670784664199e-184,1.96433978055376e-118,8.57145975251204e-183,3.44016043159004e-153,3.31075967753411e-158,1.3371408134402201e-151,4.61372749030378e-204,1.1077737700993e-130
SLFN5,1.46801930585756e-181,8.48153249878874e-160,1.5943682955240699e-248,2.35863669352819e-245,3.05380080588948e-146,5.944579910341951e-198,3.86534899914806e-190,4.60388688974681e-140
APOL6,2.63355134688261e-180,1.98144352597845e-76,5.44927449987743e-150,5.94541027851521e-205,8.888193112575509e-184,1.2280002204132702e-155,2.11794504782797e-166,6.63020480774457e-149
PLSCR1,2.63355134688261e-180,3.0886742583884405e-154,4.53835503137158e-259,2.07846320919207e-241,3.08111447032633e-111,6.0549468503907695e-192,9.887243652392771e-206,4.4915667073444305e-145
PPM1K,1.10919955574866e-173,3.39463670778449e-102,2.58105010095649e-148,1.5105812100777299e-179,1.11370783047457e-128,1.7388832743631903e-167,1.80317694861596e-156,5.2663673858327e-152
HERC6,8.31045888872467e-173,1.32347635108283e-149,2.23801195644818e-276,3.5947004151649595e-238,1.0981992108050299e-138,7.94369428079447e-186,1.09756193086864e-230,9.92371237947058e-179
RIGI,1.43543478455399e-169,1.56283501925364e-121,5.34215193525021e-183,1.7976598730454e-209,6.233704735500341e-188,4.3227462371668397e-160,4.50077209139078e-175,2.0960834073690998e-135
IFIH1,8.14550410685025e-169,7.185774790465659e-138,3.67593184957888e-199,1.69438819558784e-233,8.75461563153553e-158,3.79519878073813e-172,2.44196343203798e-147,9.20916473491369e-135
IFIT5,2.87185089637655e-153,6.38310850017438e-135,1.19136982113224e-262,1.80443536210726e-289,1.06446451236785e-83,7.784071783671209e-160,1.6928032746987898e-158,2.3397900778799298e-123
MX2,5.95162032011313e-137,5.5183466226153e-169,1.46506513821673e-145,1.2596829130249202e-173,9.31083404323907e-145,3.42356974552974e-103,2.2566273227245898e-138,1.44916577884058e-124
PARP9,1.32124856451733e-136,1.45427161688772e-74,5.208938632172841e-259,1.1472341551693899e-174,5.46749507364635e-68,1.2716648420562601e-133,3.8772216070023597e-116,5.77402627117948e-112
HERC5,2.23288099231875e-136,9.80358257297421e-102,4.2273196547737295e-242,1.90627631353627e-245,4.2790657978956796e-135,2.16797609486753e-148,4.3228661894118804e-180,4.85694829793459e-143
TLR7,8.74717216671975e-136,1.2199229712319e-138,1.20232686550445e-99,2.64628740320091e-110,4.83893477326292e-125,8.827216666343961e-117,2.49629281291479e-119,8.09106209623685e-106
LOC105373582,5.10876105104972e-130,8.16189773363367e-123,4.58428178460729e-117,6.68545885920701e-141,1.99019301855972e-114,3.76950374623053e-50,4.97365249944566e-108,5.75142905645948e-133
SLFN12L,1.89126924325152e-129,9.97821152587966e-71,5.85157999619493e-212,8.62049860639579e-220,1.19550299012928e-77,1.15394973372346e-116,4.6715630773463e-127,6.29380049331322e-103
FLJ32255,3.20554257953757e-129,3.05754575437282e-108,3.66354782691585e-102,5.80873996103837e-142,1.89367181606762e-161,1.67969197173361e-149,1.92671647316845e-118,1.3364311843389e-96
